model,mode,content_type,target_length,mean_fragment_length,reward_mean,reward_std,reward_count,exact_match_mean,exact_match_std,exact_match_count,char_accuracy_mean,char_accuracy_std,char_accuracy_count,levenshtein_similarity_mean,levenshtein_similarity_std,levenshtein_similarity_count,generation_ms_mean,generation_ms_std,generation_ms_count,scoring_ms_mean,scoring_ms_std,scoring_ms_count,total_ms_mean,total_ms_std,total_ms_count,sub_llm_call_count_mean,sub_llm_call_count_std,sub_llm_call_count_count,sub_llm_prompt_tokens_mean,sub_llm_prompt_tokens_std,sub_llm_prompt_tokens_count,sub_llm_completion_tokens_mean,sub_llm_completion_tokens_std,sub_llm_completion_tokens_count,sub_llm_total_tool_calls_mean,sub_llm_total_tool_calls_std,sub_llm_total_tool_calls_count,sub_llm_total_turns_mean,sub_llm_total_turns_std,sub_llm_total_turns_count,sub_llm_batch_count_mean,sub_llm_batch_count_std,sub_llm_batch_count_count,sub_llm_max_batch_size_mean,sub_llm_max_batch_size_std,sub_llm_max_batch_size_count,sub_llm_mean_batch_size_mean,sub_llm_mean_batch_size_std,sub_llm_mean_batch_size_count,turns_mean,turns_std,turns_count,prompt_tokens_mean,prompt_tokens_std,prompt_tokens_count,completion_tokens_mean,completion_tokens_std,completion_tokens_count
deepseek/deepseek-v3.2,rlm,codes,500,20.0,0.9166666666666666,0.28867513459481287,12,0.9166666666666666,0.28867513459481287,12,0.9191666666666666,0.2800148805569685,12,0.9998333333333332,0.0005773502691896233,12,76987.255692482,10588.08057141655,12,50.51513512929167,9.543334906572042,12,77037.7708276113,10587.782508153701,12,0.0,0.0,12,0.0,0.0,12,0.0,0.0,12,0.0,0.0,12,0.0,0.0,12,0.0,0.0,12,0.0,0.0,12,0.0,0.0,12,4.416666666666667,1.164500152881315,12,8594.333333333334,3924.462981984885,12,1454.0833333333333,438.9084514883244,12
deepseek/deepseek-v3.2,rlm,csv,500,20.0,0.7,0.48304589153964794,10,0.7,0.48304589153964794,10,0.7,0.48304589153964794,10,0.7,0.48304589153964794,10,69311.80765628815,18191.165878678275,10,34.35206413268,22.320428644500986,10,69346.15972042081,18210.444377964664,10,0.0,0.0,10,0.0,0.0,10,0.0,0.0,10,0.0,0.0,10,0.0,0.0,10,0.0,0.0,10,0.0,0.0,10,0.0,0.0,10,3.8,2.043961295567452,10,6762.1,5718.12367146971,10,1102.9,744.7396935245973,10
deepseek/deepseek-v3.2,rlm,json,500,20.0,0.4,0.5163977794943222,10,0.4,0.5163977794943222,10,0.5992,0.5157124090894933,10,0.5992,0.5157124090894933,10,68412.14129924776,13579.454903874359,10,26.98435783388,22.746491409986664,10,68439.1256570816,13594.485970009377,10,0.0,0.0,10,0.0,0.0,10,0.0,0.0,10,0.0,0.0,10,0.0,0.0,10,0.0,0.0,10,0.0,0.0,10,0.0,0.0,10,3.5,1.7159383568311668,10,5636.7,4620.036725443256,10,1140.0,584.3771613150763,10
deepseek/deepseek-v3.2,rlm,mixed,500,20.0,0.5714285714285714,0.5345224838248488,7,0.5714285714285714,0.5345224838248488,7,0.7230810120142858,0.46952888378645946,7,0.9832077689714286,0.039306539213618805,7,79720.16337939673,4411.3208830154945,7,47.04696791514285,8.41520906776814,7,79767.21034731183,4406.686413096237,7,0.0,0.0,7,0.0,0.0,7,0.0,0.0,7,0.0,0.0,7,0.0,0.0,7,0.0,0.0,7,0.0,0.0,7,0.0,0.0,7,5.142857142857143,1.5735915849388864,7,9494.57142857143,5483.660755892389,7,1573.2857142857142,288.9773429905963,7
deepseek/deepseek-v3.2,rlm,words,500,20.0,0.6363636363636364,0.504524979109513,11,0.6363636363636364,0.504524979109513,11,0.7270909090909091,0.46698296640144266,11,0.7270909090909091,0.46698296640144266,11,69333.4829373793,16240.67291193799,11,33.96981412713637,21.563425175003136,11,69367.45275150645,16252.377105971273,11,0.0,0.0,11,0.0,0.0,11,0.0,0.0,11,0.0,0.0,11,0.0,0.0,11,0.0,0.0,11,0.0,0.0,11,0.0,0.0,11,3.909090909090909,1.7002673586554236,11,5864.272727272727,4227.297862486367,11,999.0909090909091,465.4837171256272,11
deepseek/deepseek-v3.2,rlm_tips,codes,500,20.0,0.8333333333333334,0.3779644730092272,36,0.8333333333333334,0.3779644730092272,36,0.8358333333333333,0.37234680454804886,36,0.9165,0.28025554665085833,36,108389.71187671025,22974.88940055533,36,43.85047488743056,17.161696416757884,36,108433.56235159768,22980.893802283983,36,0.0,0.0,36,0.0,0.0,36,0.0,0.0,36,0.0,0.0,36,0.0,0.0,36,0.0,0.0,36,0.0,0.0,36,0.0,0.0,36,5.388888888888889,1.535815795833002,36,12812.861111111111,4750.218480104905,36,1994.0555555555557,537.118925083207,36
deepseek/deepseek-v3.2,rlm_tips,csv,500,20.0,0.8666666666666667,0.3457459036417604,30,0.8666666666666667,0.3457459036417604,30,0.8666666666666667,0.3457459036417604,30,0.8666666666666667,0.3457459036417604,30,103347.34326203664,23568.39122610492,30,44.58948771159333,19.134367582918188,30,103391.93274974823,23576.19108927069,30,0.0,0.0,30,0.0,0.0,30,0.0,0.0,30,0.0,0.0,30,0.0,0.0,30,0.0,0.0,30,0.0,0.0,30,0.0,0.0,30,4.8,1.7888543819998315,30,10338.833333333334,5404.940218389822,30,1646.0333333333333,631.8438525640561,30
deepseek/deepseek-v3.2,rlm_tips,json,500,20.0,0.6333333333333333,0.490132517853561,30,0.6333333333333333,0.490132517853561,30,0.9007222421000001,0.2994260862514741,30,0.9287484794266666,0.25318634964769116,30,119025.98319053648,39083.48690548448,30,44.707473119106666,13.744678121963998,30,119070.6906636556,39088.52443792836,30,0.0,0.0,30,0.0,0.0,30,0.0,0.0,30,0.0,0.0,30,0.0,0.0,30,0.0,0.0,30,0.0,0.0,30,0.0,0.0,30,6.6,2.415467399618693,30,17394.466666666667,13139.712878648961,30,2329.2,1041.4360907105547,30
deepseek/deepseek-v3.2,rlm_tips,mixed,500,20.0,0.6666666666666666,0.48304589153964794,21,0.6666666666666666,0.48304589153964794,21,0.7609523809523809,0.43590027256133673,21,0.7609523809523809,0.43590027256133673,21,99838.99429866245,23087.416147830278,21,37.211474918180954,21.517996530817342,21,99876.20577358064,23094.796037299275,21,0.0,0.0,21,0.0,0.0,21,0.0,0.0,21,0.0,0.0,21,0.0,0.0,21,0.0,0.0,21,0.0,0.0,21,0.0,0.0,21,5.285714285714286,2.239260081876537,21,10786.809523809523,6211.787412806781,21,1590.8095238095239,833.5622123781536,21
deepseek/deepseek-v3.2,rlm_tips,words,500,20.0,0.7272727272727273,0.45226701686664544,33,0.7272727272727273,0.45226701686664544,33,0.8784848484848484,0.3313204756361393,33,0.8784848484848484,0.3313204756361393,33,94214.17560721889,25976.92186335386,33,45.33223672346364,18.386545080938905,33,94259.50784394235,25987.15643228757,33,0.0,0.0,33,0.0,0.0,33,0.0,0.0,33,0.0,0.0,33,0.0,0.0,33,0.0,0.0,33,0.0,0.0,33,0.0,0.0,33,4.636363636363637,1.654882583036139,33,7629.818181818182,3286.8795560392973,33,1249.0,540.7480351328148,33
